Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Salvador Perez","KCR",652,468,91.07835230334052,113.319,19.045660610856682,57,0.12179487,207,0.44230769,0.27118644,0.275,0.455932203,0.522,0.33502383720466283,0.36,"Salvador Perez",7304,521692
"Daniel Vogelbach","TOR",79,53,90.89131433823529,108.976,8.134823069852942,5,0.09433962,23,0.43396226,0.185714285,0.273,0.3,0.466,0.2619745987880079,0.36,"Daniel Vogelbach",14130,596129
"Will Wagner","TOR",86,66,90.58607066761364,109.124,5.135053692441998,6,0.09090909,33,0.5,0.304878048,0.317,0.451219512,0.483,0.3415291163810464,0.36,"Will Wagner",29634,695238
"Randal Grichuk","ARI",279,210,90.66595955442584,112.303,17.010236384195576,23,0.10952381,100,0.47619048,0.291338582,0.278,0.527559055,0.483,0.373031150269252,0.359,"Randal Grichuk",10243,545341
"Carlos Correa","MIN",367,263,90.27281876192748,113.874,8.943263396052004,24,0.09125475,117,0.44486692,0.310344827,0.278,0.517241379,0.455,0.3853048369370771,0.358,"Carlos Correa",14162,621043
"William Contreras","MIL",679,459,92.79600694444444,118.146,6.068364162071078,46,0.10021786,225,0.49019608,0.280672268,0.269,0.465546218,0.471,0.3587271837346278,0.358,"William Contreras",20503,661388
"Michael Toglia","COL",458,256,92.1587435153162,111.977,15.016778154335475,44,0.171875,128,0.5,0.218045112,0.244,0.45614035,0.503,0.3292400415127094,0.358,"Michael Toglia",25845,669911
"Matt Wallner","MIN",261,126,92.79142640128968,116.824,21.62647453187004,22,0.17460317,67,0.53174603,0.259090909,0.234,0.522727272,0.468,0.38523802583701766,0.358,"Matt Wallner",26466,670242
"Bryce Harper","PHI",631,415,91.03085649570025,113.828,13.487480182227996,43,0.10361446,196,0.47228916,0.285454545,0.267,0.525454545,0.474,0.38021706340771305,0.357,"Bryce Harper",11579,547180
"Mookie Betts","LAD",516,397,89.91723079345088,109.38,21.434501436555415,24,0.0604534,156,0.3929471,0.288888888,0.282,0.491111111,0.447,0.3709689515573969,0.356,"Mookie Betts",13611,605141
"Dustin Harris","TEX",7,4,97.48966979980469,102.148,26.840656280517578,1,0.25,3,0.75,0.333333333,0.265,1,0.456,0.5704554234232221,0.356,"Dustin Harris",25705,687957
